identifier,identifier 1,identifier 2,object_in_context,subject_name 1,subject_name 2,subject_name 3,subject_name 4,subject_name 5,subject_topical 1,subject_topical 2,subject_geographic,item_type,language,language_of_cataloging,form,digital_origin,date_text,date_single_start,date_end,date_qualifier,public_note,title,rights,collection,collection_identifier,repository,name,affiliation,place_of_origin,project_url,project_title,project_abstract,record_source,file_thumbnail_url
mpabaker_829,mpabaker:829,0012_000159_000311,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A829,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Kissinger, Henry, 1923- | http://id.loc.gov/authorities/names/n79018911",,,,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1978,1978,,,,Group including Howard Baker and Henry Kissinger at Nashville Fundraiser,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Papers, MPA.101,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A829/datastream/TN/view/Group%20including%20Howard%20Baker%20and%20Henry%20Kissinger%20at%20Nashville%20Fundraiser.jpg
mpabaker_741,mpabaker:741,0012_003587_000265,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A741,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Baker, Joy Dirksen",,,,Families | http://id.loc.gov/authorities/subjects/sh85047009,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1982,1982,,,,Howard Baker and Joy Baker at Wedding Anniversary,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A741/datastream/TN/view/Howard%20Baker%20and%20Joy%20Baker%20at%20Wedding%20Anniversary.jpg
mpabaker_919,mpabaker:919,0012_000159_000376,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A919,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Nixon, Richard M. (Richard Milhous), 1913-1994 | http://id.loc.gov/authorities/names/n79018757",,,,Presidents--United States | http://id.loc.gov/authorities/subjects/sh85106465,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1969,1969,,,,Howard Baker and Richard Nixon,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A919/datastream/TN/view/Howard%20Baker%20and%20Richard%20Nixon.jpg
mpabaker_812,mpabaker:812,0012_003587_000309,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A812,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,Political campaigns | http://id.loc.gov/authorities/subjects/sh85041555,Constituentss,"Dyersburg (Tenn.) | URI: http://id.loc.gov/authorities/names/n83049043 | Coordinates: 36.03452, -89.38563",still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1966,1966,,,,"Howard Baker Meeting Constituents during Campaign in Dyersburg, Tennessee","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Dyersburg Mirror | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A812/datastream/TN/view/Howard%20Baker%20Meeting%20Constituents%20during%20Campaign%20in%20Dyersburg%2C%20Tennessee.jpg
mpabaker_820,mpabaker:820,0012_003587_000229,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A820,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","O'Neill, Tip | http://id.loc.gov/authorities/names/n80032314",,,,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1980,1980,,,,Howard Baker and Tip O'Neill,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A820/datastream/TN/view/Howard%20Baker%20and%20Tip%20O%27Neill.jpg
mpabaker_974,mpabaker:974,0012_000159_000322,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A974,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1984,1984,,,,Howard Baker with Athletes,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Papers, MPA.101,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A974/datastream/TN/view/Howard%20Baker%20with%20Athletes.jpg
mpabaker_961,mpabaker:961,0012_000159_000272,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A961,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Ford, Gerald R. 1913-2006 | http://id.loc.gov/authorities/names/n79022087",,,,Political campaigns | http://id.loc.gov/authorities/subjects/sh85041555,Presidents--United States | http://id.loc.gov/authorities/subjects/sh85106465,"Johnson City (Tenn.) | URI: http://id.loc.gov/authorities/names/n79071806 | Coordinates: 36.31344, -82.35347",still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1976,1976,,,,"Howard Baker , Gerald Ford and Man at Campaign in Johnson City",No known copyright restrictions.,Howard H. Baker Jr. Papers, MPA.101,"University of Tennessee, Knoxville. Special Collections",United States | URI: http://id.loc.gov/authorities/names/n78095330 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A961/datastream/TN/view/Howard%20Baker%20%2C%20Gerald%20Ford%20and%20Man%20at%20Campaign%20in%20Johnson%20City.jpg
mpabaker_839,mpabaker:839,0012_003587_000287,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A839,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,Families | http://id.loc.gov/authorities/subjects/sh85047009,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1932,1932,,,,Howard Baker with Mary Baker as Children,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A839/datastream/TN/view/Howard%20Baker%20with%20Mary%20Baker%20as%20Children.jpg
mpabaker_862,mpabaker:862,0012_000159_000371,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A862,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Reagan, Ronald | http://id.loc.gov/authorities/names/n79059562",,,,Presidents--United States | http://id.loc.gov/authorities/subjects/sh85106465,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,Howard Baker and Ronald Reagan,Public domain.,Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",White House Administrative Office (U.S.) | URI: http://id.loc.gov/authorities/names/n93097922 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A862/datastream/TN/view/Howard%20Baker%20and%20Ronald%20Reagan.jpg
mpabaker_738,mpabaker:738,0012_003587_000262,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A738,"Axton, Mae Boren | http://id.loc.gov/authorities/names/n82012882","Baker, Howard H. (Howard Henry), 1902-1964 | http://id.loc.gov/authorities/names/no2010128220",,,,Celebrities | http://id.loc.gov/authorities/subjects/sh85021618,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1976,1976,,,,Howard Baker and Mae Axton,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A738/datastream/TN/view/Howard%20Baker%20and%20Mae%20Axton.jpg
